,Text
16,"It was observed that:
 ""Of late, crime against women in general and rape in particular is on the increase."
17,"The torch was taken in possession vide memo Ex.PO which was signed by him and Nityanand, besides the police officials."
18,"Under Article 21, Constitution of India no person can be deprived of his life or personal liberty except according ""to procedure established bylaw""."
19,"But, in spite of all, the efforts taken by the complainant accused failed to clear the outstanding or to pay the total amount of the cheque in question."
20,"The Supreme Court, in the case of Susamma Thomas, 1994 ACJ 1 (SC), has awarded a sum of Rs. 15,000/- each on the above two heads."
21,"Till this order was passed, the selections to the professional and Technical Colleges affiliated to the Mysore University were mainly made from the students who passed out of the Mysore University."
22,"To that extent, the State's power to regulate as an expression of the sovereign power has its limitations."
23,"From this, it is seen that the amounts accrued under the policy are even not only kept away from court attachments but also from any other amounts payable by the employee to the department."
24,"After finishing the letter PW4 posted the same in the Edad Post Office in the address of PW10 , (Vijayan) the brother of the deceased."
25,A contention similar to the one now raised by Mr. Dasgupta was also raised before the Supreme Court.
26,"This 2015.07.04 12:32 I attest to the accuracy and authenticity of this document Chandigarh <span class=""hidden_text"" id=""span_10""> FAO No.1042 of 2003 11</span>"
27,The Supreme Court granted special leave to appeal against P.N. Talukdar and S.M. Basu.
28,For causing injury to Vinubhai Keshavlal accused No. 2 Bhikhabhai Nathabhai and accused No. 13 Mahadevbhai Magribhai and accused No. 5 Sagrambhai Nagribhai would be liable to be punished under Section 326 and rest of the respondents-accused would be liable to be punished under Section 326 read with Section 149.
29,"Once it is found to be acceptable intrinsically and on broad probabilities, the criticism against the evidence of witnesses will have to be gone through realistically to ascertain whether any reasonable doubt is generated thereby."
30,"In United India Insurance Co. Ltd. v. Rajendra Singh this Court observed that ""Fraud and justice never dwell together"" (fraus et jus nunquam cohabitant) and it is a pristine maxim which has never lost its temper over all these centuries."
31,"Considering the evidence on record I find that the accused has not brought any credible evidence to rebut the presumptions provided in Section 114, Illustration (f) of the Evidence Act, 1872 and Section 27 of the General Clauses Act, 1897 and further looking at the mandate given by the H'onble Supreme Court in C.C. Alavi Hazi Vs.Palapetty Mohd. & Anr"
32,"He proved report Ex.Pw19/A which says that thumb impression appearing in Ex.Pw18/A and Ex.Pw18/B are identical with that appearing in FIR No: 156/04 State v. Angoori Devi Page No.10/19 original card Ex.Pw18/E. 

11."
33,To complete the narration of facts since the defendants sold the land in violation of the interim injunction granted by this Court on 5-7-1990 the plaintiffs filed CMA No. 6727 of 93 to punish the defendants under Order 39 Rules 2A read with 151 CPC seeking detention of the defendants in civil prison and to attach their property in the hands of the alienees.
34,"We now proceed to examine the evidence of the witnesses of the petitioner who were produced to prove that Shri Krishna Kumar visited Lakhaya, Nayagaon, Rejhadi and Anandpura villages on 21st February, 1962, in the evening, accompanied by Shankar Lal, and told the electors that Shankar Lal would take them to the polling station in a truck on the next day."
35,"There was no regular TADA Court at Mumbai and TADA case's trial was likely to take some time to commence and, therefore, a fresh bail application was filed."
36,"Please see - State of Rajasthan v. Rajendra Singh, (2009) 11 SCC 106:(AIR 1998 SC 2554)."
37,"According to him, the ratio in the case of H.R. Sugar Factory (P) Ltd. 187 ITR 363, on which reliance has been placed by the AO as well as by the learned CIT(A), is not applicable to the facts of this case."
38,"The Superintendent of Jail can grant parole upto a period of seven days subject to confirmation by the Inspector General, Prisons."
39,"We affirm the death sentence passed by the trial court as also the other sentences passed under Sections 364 and 376 I.P.C. 

45."
40,"During the raid, 47 persons including the petitioners were arrested, several documents found on the premises or with the persons arrested were seized and the accused were released on bail by the police."
41,"While dealing with the said issue, this Court opined that:-
 ""It is settled law that disputes relating to contracts cannot be agitated under Article 226 of the Constitution of India."
42,"Even assuming, although we shall presently show that it is not so, that in such a case an order of the Court taking cognizance or issuing processes is an interlocutory order, does it stand to reason to say that inherent power of the High Court cannot be exercised for stopping the criminal proceeding as early as possible, instead of harassing the accused up to the end?"
43,"As to the judgment relied upon by the learned CIT (Departmental Representative) reported in (1962) 45 ITR 210 (SC) (supra), we find the same to be out of context."
44,At this conference the petitioner's partner Guidayal Berlia was present.
45,"It might have been given in Pash-bandi."" 
 "
46,The Arbitrators set out several reasons in paragraph 7 of the original award in support of their view that section 56 of Indian Contract Act was not attracted in the instant case.
47,"They asserted that the lands in suit appertained to village Basarh belonging to the 'debottar' estate and not to any of the villages of the plaintiff as claimed in the plaint, and the plaintiff had not been in possession of that disputed lands within 12 years of the suit, the possession being the possession of the deity."
48,"In the instant case, the contract was for supply of pouches which were required by defendant for packaging certain medicines."
49,"Sub-section (1) of s. 195, to the extent it is relevant lays an obligation on any person on securities or any other sum not being dividends chargeable under the provisions of the Act, to deduct tax at source at the rates in force."
50,He was again re-admitted in the hospital just six days thereafter on 1.4.96 and then discharged after one week's hospitalisation.
51,"Aggrieved by the said order, Home Department of the Government of Tamil Nadu and others filed Writ Appeal No. 479 of 2005."
52,It will be noticed that the Supreme Court did not altogether ban the evolution of a new head of public policy.
53,"That in the year 1998, a massive cyclone hit the coast of Gujarat and caused severe damage to the appellant's property, machineries, equipments etc. at the refinery site."
54,"It lays down that no election to either House of Parliament shall be called in question except by an election petition presented to such authority, and hi such manner, as may be provided for, by or under any law made by the appropriate Legislature."
55,"Reliance was also placed on Tribunal's decision in K. Viswanathan v. CC , which was relied on in Ion Exchange (supra)."
56,"File be consigned to record room subject to furnishing of bail bonds u/s 437 A Cr.P.C. 

Announced in the open (ASHOK KUMAR) Court on 14.07.2014 MM­07, SOUTH EAST, SAKET, NEW DELHI, <span class=""hidden_text"" id=""span_26"">FIR No. 80/11 Page 26 of 26</span>"
57,"First, we shall take the facts of Writ Petition No. 1177 of 1974."
58,"Therefore, Shri. Dharap, learned Counsel for the respondent submitted that the learned Single Judge was justified in holding that there is an unfair labour practice under item 4(c) of Schedule-II of the MRTU & PULP Act."
59,"From this major premise or fixed point anchored and rooted in Section 13 of both HMA and CPC, the exceptions carved out by the Supreme Court would need to be examined."
60,"In paras 7.4 and 7.6, the learned Judicial Member has highlighted as to how Shri Salauddin had explained his earlier statement dated 2.3.1993 in subsequent statement dated 11.3.1993 with reference to entries in his books of account."
61,"Dy.Registrar was competent to pass winding up order as powers were delegated to him vide notification dated 18.10.77 issued by Delhi Administration, Delhi."
62,"Accepting the verdict, the Government of Tamil Nadu issued G.O.Ms.No.139 dated 25.07.2007."
63,"When they were at Sharjah, Amna Muzaffar requested that her two brothers also be called there and get them employed some where, which was done by Mohd. Waqar, and after that, there was change in the behaviour of Amna Muzaffar, and she started treating him with cruelty and started demanding divorce."
64,"In D.A.V. College v. State of Punjab and Ors. [1971 (Supp.) SCR 688], the question posed was as to what constituted a religious or linguistic minority, and how it was to be determined."
65,"It is a matter of record that the representative of the assessee has not disproved the findings of inquiries made at Jodhpur which was duly communicated to him along with a copy of statements of alleged shareholders, ""but has filed copies of affidavits of some of the persons which are placed on records."
66,"Majority of three judges, dissented by minority opinion of two judges, had held that the words ""things done"" in para 6 of the French Establishments' (Application of Laws) order was comprehensive enough to take within its ambit not only things done but also the effect of the legal consequences flowing therefrom."
67,"This aspect is canvassed by the defence, pointing out that the injuries were inflicted only on the leg of the accused."
68,"The Challenge to the validity of the above Clause 13 of the Standing Orders is based on Articles 14 and 16 of the Constitution of India which are being reproduced hereunder for ready reference:
Article 14. Equality before law: The State shall not deny to any person equality before the law or the equal protection of the laws within the territory of India."
69,"What needs to be adverted to is that complainant is to be examined to bring on record ""Legal Evidence"", and not just to have the evidence of ""owner of the Negotiable instrument i.e. cheque""."
70,"See Alien Berry & Co. v. Union of India, ."
71,"To achieve this aspect, the Legislature had deleted (b) clause of proviso with an intention that the interlocutory orders should not be interfered with in the revisional jurisdiction of the High Court."
72,"It is evident that the drawer has failed to make the payment CC no. 126/14 Bhoopindra kumar Vs. Meenu Verma  of cheque amount in question within 15 days of the receipt of aforesaid notice, thus, the present complaint U/s 138 NI Act has been initiated against the accused."
73,"The question that the Supreme Court posed for itself was as to whether the injustice resulting from the practice of discarding bidis and not making any payment to the workers could be checked, controlled and regulated by the issuance of a notification."
74,"Referring to the decision in D.S.NAKARA Vs. UNION OF INDIA (1983 1 SCC 305), the Apex Court held that by adopting the principle of severability by striking down the words of limitation in the enactment, the provision can still be upheld."
75,A few lines occurring at page 119 in the judgment of the Privy Council in the case of Attorney-General for British Columbia and Esquimalt and Nanaimo Railway Company and others may be quoted with advantage.
76,Copy of this judgment be given free of cost to the accused driver.
77,"Amarsingh, Bhanwarial, Narpat Singh II, Jagdish Prasad Sharma, Mohd. Ahmed Khan, all the petitioners are admittedly permanent employees and since the bedrock of the impugned orders of termination of their services is Clause 13, the termination orders are liable to be quashed and are hereby quashed."
78,"The contention of the petitioner is that it is not open to the assessee, the second respondent herein, to question the order passed by the CIT on 01.04.2010 on the ground that he did not validly assume jurisdiction to revise the assessment orders."
79,"HONBLE SRI JUSTICE A. SHANKAR NARAYANA            MACMA No. 1808 of 2005    30-03-2015  The National Insurance Company, rep. by its Branch Manager, Chittoor, Chittoor District"
80,That itself amounts to cruelty by filing a criminal case.
81,"Equally me building of national and State highways involves the creation of bridges, culverts, etc. over large rivers or smaller streams, which vest in the Government and can only be done under the umbrella and cloak of the sovereign governmental powers."
82,"The witness further deposed that on 1st April, 2003 he alongwith police party had gone forests at Gopalpur and Kanchanpur villages and on 2nd April, 2003 behind the bushes, he found his son Vikash Jain with three accused persons namely Pradip Kumar, Gopal and Naval Singh."
83,"Thereafter the ownership of property in which tenanted premises is situated fell in favour of Smt. Jeet Kaur, who expired on 21/04/2004."
84,"On the date of the incident, that is, on 05.09.2008 it must be about 8.45 p.m. that Happy (Tejinder Bawa - appellant in CRA No.1046 of 2011) and Suraj Ahluwalia (appellant in CRA No. D-1026-DB of 2011), President of Shiv Sena, Bal Thakre and his Gunman Shammi Kumar came on a black colour Bolero vehicle bearing registration No. PB-10BE-4979."
85,"In contrast, the impression that we get by reading Section 2(s), which defines ""shared household"" is that the ""household"" which is referred to in the said provision, relates to the property and not just to the group of people who dwell under the same roof or the family living together."
86,"If he had to be a member, then the conclusion of the Nagpur High Court in this case that the dispute between the co-operative bank and the plaintiffs relating to their liability which arose out of their capacity as treasurers was referable to the Registrar seems to be correct."
87,"Consent of the girl in order to relieve an act, of a criminal character like rape, must be an act of reason, accompanied with deliberation, after the mind has weighed as in a balance, the good and evil on each side, with the existing capacity and power to withdraw the assent according to one's will or pleasure."""
88,He denied that Pushkar (appellant No.4) was a parking attendant in Hotel Le Meridien for the last about 16 years.
89,Accordingly in June 1970 a dispute was sought to be raised before the District Deputy Registrar .
90,"In the aforesaid background, the plea raised by learned counsel for petitioners is not tenable for relaxation of qualification."
91,"Justice B.N. Srikrishna, the then sitting Judge of this Court was appointed as the sole Commissioner to head the inquiry."
92,"This revision petition was disposed of by Order No. 2122 of 1977 dated December 14, 1977."
93,"Having given our careful consideration we are unable to agree with the view taken by Seth, J.P.W. 7"
94,"The registration certificate was granted about three months thereafter on 3rd June, 1966, i.e., about three days after the sale in question."
95,But it was found by the Upa Lok Ayukta that the second W.P.(C).No.33916 of 2008 & con. Cases.
96,"The assessee further contended that interest paid was an allowable deduction under Section 36 of the I.T. Act, 1961, being interest paid on capital borrowed for the purpose of business which included the payment of income-tax on the income of the business."
97,"The petitioner Uthan Pada Das and petitioner Abhimunna Ghosh having already attained the age of 65 years in 1997 and 31.10.96 respectively, the question of extension of their services does not arise but it stands admitted that during their extended period they still have been granted salary at the old scale."
98,"The question arose as to whether the living allowances and salaries paid to the foreign technicians is taxable treating the same as constituting salary earned in India as per section 9(1)(ii) of the Income Tax Act as it stood at the relevant time include which falls under the head ""Salaries"" if it is earned in India."
99,"The doctor, after examining them declared both dead."
100,"On the same date, i.e., 19th April 1995, the High Commission of the Republic of Singapore made a request to the Ministry of External Affairs, Government of India to assist it in securing the provisional arrest of Rajan Pillai for the <span class=""hidden_text"" id=""span_5"">W.P. (C) No. 1894 of 1998 Page 5 of 48</span> purposes of extradition."
101,"The statements of P.W. 3 Anup and P.W. 9 Ravi have been recorded on 11st June, 2006 i.e. two days after the incident."
102,"With regard to scope of S.320 Cr.P.C., in the case of DASAN Vs. STATE OF KERALA AND ANOTHER, (2014) 12 SCC 666, Apex Court has held as follows:
 ""7. Section 320 of the Criminal Procedure Code (the Code) pertains to offences punishable under the Penal Code only."
103,"

 PW-8 is Sub Inspector Saudan Singh, who is I.O. in this case."
104,"We do not think it necessary to examine several other decisions which have been cited, and we would merely add that some of these have been examined in detail by Balakrishna Ayyar, J. in W. P. Nos. 291 and 292 of 1957 (Mad)."
105,"Under this circumstance, in paragraph No.9, the division bench of Apex Court has held that;
""In the present case, admittedly, no notice was issued by the Vth Metropolitan Magistrate to the appellant before accepting the final report submitted by the CBI and deciding not to take cognizance and drop the proceedings."
106,"Therefore, necessarily Muthalamarappan Mala could not be such an extensive Mala."
107,"The parties to the petition were married at Sholapur on December 12, 1957."
108,We have already considered the facts relating to bogus purchase invoices in respect of oil cakes shown as purchased by the assessee from 33 bogus suppliers.
109,"The documents being registered should have been proved through the concerned Sub <span class=""hidden_text"" id=""span_5"">Result: Application dismissed Page 5 of 17</span> Chander Kant v Laxmi Chand Ex.No.75/2010/03 Registrar/other government official/executor and not in the manner as sought to be proved"
110,"If he had paid the fine amount, the same will be refunded to him."
111,"In respect of offence u/s 3/181 MV Act, during the course of final argument, accused Abid @ Guddu admitted before this court that he FIR No. 196/2011, State Vs. Abid Guddu was driving the motorcycle without having any driving licence, as alleged by the IO/PW7 in his chief examination."
112,"It was contended by learned counsel that an order was made by the President on 26th January, 1950, by which the President directed that the tax on sale or purchase of goods under the U. P. Sales Tax Act shall, notwithstanding that such imposition of tax was contrary to the provisions of Clause (2) of Article 286 of the Constitution, continue to be levied until 31-3-1951."
113,"For all that each accused knew, the separate blows he dealt were alleged in the charge to he the fatal ones, because that is implied by Section 221 (5), Criminal Procedure Code, But the fact was that although the deceased had 22 items of injuries, only 3 on the head were grievous and the remaining 10 were simple i.e., did not even endanger life."
114,"and was chased by the public, but he escaped."
115,The object was to verify claims of these displaced persons from West Pakistan in respect of their properties left behind by them in West Pakistan at the time of their return to India.
116,"The oral evidence on this point I consists of the deposition of claimant Jagalia, Ex, 38, that of claimant Ditia, Ex. 39 and the driver Shabhai, Ex. 44."
117,"If it is not, then Section 22 was no bar to the maintainability of the suit."
118,The said Yogas arc not merely thcorization in the metaphysical spheres but have a tremendous bearing in the pragmatic world.
119,"Accordingly, we reverse the order of the Tribunal in both the cases on this point."
120,"Rs. 10 lacs for a period of 6 years Deposition of awarded amount with STATE BANK OF INDIA, Saket Court Branch, New Delhi."
121,In such an event also there was no occasion for the plaintiffs to rebook the said consignments from Gaya to Ranchi under fresh consignments notes.
122,"Where a defendant denies an allegation of fact in the plaint, he must not do so evasively, but answer the point of substance."
123,"As was said in State of Rajasthan v. S. Chawla, (1959) Supp 1 SCR 904 = (AIR 1959 SC 544) the entries in the lists must be regarded as enumeratio simplex of broad categories."
124,"However, it is always necessary to remember in that connection the observations of Parke, B. in (1834) 149 ER 1044 already referred to which not only define what a privileged occasion is but also the principle on which it is based."
125,"Merely because the stone slab was not plastered, the evidence regarding recovery cannot be doubted."
126,"The Investigating Officer, Himatgiri Gosai, was examined and police statement of Laljibhai was duly proved through his evidence."
127,The court mentions that accordingly it recorded first answer given by the witness.
128,It has been submitted that the those witnesses were none else but accomplices and were induced by Navy by continuously placing the orders on them despite discovery of story of so-called illegal gratifications allegedly paid by them to the petitioner.
129,"Apart from the compensation for acquisition of the said premises, the assessee received a sum of Rs. 2 lakhs from the State on account of mesne profits for the use and occupation of the said premises by the erstwhile tenant."
130,"

21. Section 173(8) is a new provision introduced by the Code of Criminal Procedure, 1973 (hereinafter referred to as „Code‟), which was not there in the earlier Code."
131,The petitioner was also examined on 28.4.2014 in terms of the judgment of the Hon'ble High Court on 11.01.2013 in MACA NO. 792/2006 titled as Oriental Insurance Co. Ltd v. Ranjit Pandey & Ors.
132,The plaintiff has to allege and prove that all the terms of the contract are not contained in the promissory note.
133,What the notification has in view is not a hospital who pampers those in high places but one who gives free treatment to those who find it difficult to survive let alone afford the luxury of being treated in a private hospital.
134,"The trial Court ordered the petition and directed the 3rd defendant to pay the stamp duty and penalty on Ex.B38, and challenging the said order, a revision was filed in this Court."
135,"However, when P.W.2 Rajesh Kumar Srivastava was examined in court, he has not stated a word about receipt of any secret information by him."
136,"There is no reason to suppose that the Civil Procedure Code, the Transfer of Property Act, the Contract Act are excluded from this overriding effect given to these laws."
137,The Returning Officer could not have been unaware of the fact that the respondent was getting a second application for recount written and he was duty bound to enable him to complete it and present it.
138,"The tax in respect of contract carriages (omni buses) increased to Rs.1,000/- with effect from 1.4.1994; Rs.1,500/- with effect from 1.4.1996 and again to Rs.2,000/- by Tamil Nadu Motor Vehicles Taxation (Amendment) Act, 1998 (Tamil Nadu Act No.27 of 1998) with effect from 1.7.1998."
139,"By reason of the proviso to Sub-section (1) of Section 10 of the Nayar Act, the father is not the guardian of his minor children in respect of their tarwad property."
140,"

 ii. The bail application (M.Cr.C. No.10417/2010) of Satish Lodhi was dismissed by this Court on 26.11.2010, copy thereof was sent by the Registry on 31.12.2010 to the Sessions Judge, Jabalpur."
141,"After the case was received by commitment, charge under Section 302 of the Indian Penal Code, against Bhup Singh, accused, and under Section 302 read with Section 34 of the Indian Penal Code, against Omeshwar and Mahender, accused, was framed, to which they pleaded not guilty, and claimed judicial trial."
142,"Criminal Appeal Nos. 803, 863 and 871 of 2001 are by A-1, A-3, A-4, A-5, A-7, A-8, A-9, A-11, A-12, A-13, A-14, A-15, A-18, A-20, A-21, A-22 and A-40, challenging their conviction under Section 302 read with Section 34 and Sec.148 IPC, and the sentence of life imprisonment."
143,All the same we are unable also to subscribe to the proposition that there is no trial until the accused pleads guilty or when the Magistrate proceeds to take evidence under sub-section (5) or sub-section (7) of section 251-A Cr.P.C.
144,"Trial of Ram Charan was separated and trial of Jagat Pal abated due to his death during trial. 
4.Accused Mahendra, Kamla, Raju alias Raj Bahadur, Balwant were charged for offences punishable under sections 364, 302/149, 201, 342 IPC."
145,The finding by this Court on Section 14(1) (e) DRCA was that the accommodation available with the landlord was more than sufficient for his needs and that he did not bonafide require the tenanted premises.
146,Annexures-O and P were produced to show that such premises was leased and rent was paid.
147,"If that be so, it must follow that the definition of 'political sufferer' not only makes the children of such sufferers distinguishable from the rest but such a classification has a reasonable nexus with the object of the rules which can be nothing else than a fair and just distribution of seats."" 
 17."
148,"

3. The circulars, dated March 27 and June 12, 1967, and the cabinet decisions upon which they are based are unlawful"
149,"In the case of H. M. Kashiparekh & Co. Ltd. v. CIT [1960] 39 ITR 706, the Division Bench of the Bombay High Court held that it is the real income of the assessee that is liable to tax because income-tax is a tax on income."
150,it bad as it did not disclose all the questions & answers put & received must also fail.
151,The case of the complainant as per the complaint is that complainant is a law abiding citizen of India working with M/S AVON TRIP.
152,"Even the word ""bearer"" on the cheques was not crossed out."
153,"New heads of public policy cannot be made out as already held in R. C. Mitter & Sons' case [1959] 36 ITR 194 (SC). 
"
154,"Further, Ex.X.7, D.W.1 categorically stated that earlier they intended to enter into agreement, but later they have entered into agreement with fifth respondent."
155,"On the other hand, defendant no.1 examined himself as DW-1, Sh.Raj Pal s/o.Sh.Ram Kishan as DW-2, Sh.Desh Raj s/o."
156,"Another Division Bench in CWP No.4405 of 1998 titled ""Manju Jain & another Vs. Haryana Urban Development Authority & others"" decided on 02.04.1998 has followed the judgment in Aruna Luthra's case (supra) to return a finding that there is no provision in the Regulations to levy penal interest, thus, the levy of interest at the rate of 18% p.a. was set aside."
157,". Ram Yadav S/o Sh. Jai Kant Yadav, R/o Village Mangooda, P.S. Dhanshyampur, District Darbanga, Bihar is the complainant in the present case."
158,"By the laws of England, every invasion of private property be it ever so minute, is a trespass."
159,"It is the case of the complainant that upon her persistence, the accused persons, in partial discharge of their admitted debts and liability towards the complainant, issued a cheque bearing no. 402041 dated 17.6.2011 for an amount of Rs. 1,00,000/­ drawn on Andhra Bank, Preet Vihar, New Delhi - 110002 in favour of Complainant""Fashion Link"" signed by accused Sh. Naresh Kumar Bansal."
160,"The single Judge of the Mysore High Court in A. Manjundappa's case (AIR 1965 Mysore 73) (cited supra) held as under :
 ""3."
161,"CONCLUSION 16) It is well settled that leave to defend is granted to the tenant in case any triable issue is raised by him, which can be adjudicated by consideration of additional evidence."
162,"The Transporter, Thiru.Iyyappan, of Palani, Didndigul District has also given a statement on 04.09.1997, endorsing that the vehicle was hired to Thiru.Karimal S/o.Kandavel, Ganesan, S/o.Sangili and Velan S/o. Subramani for the purpose of transporting sandalwood."
163,"7. Was the cess payable by the first defendant in Indore as a part of the freight and, if so, whether it remained to be -recovered due to mistake?"
164,"However, if any other bank agrees to provide the special scheme for victims of the road accident on the above terms, the deposit be permitted to be made in that Bank subject to the convenience of the victim/legal representative of the victim of the road accident"". 

 32."
165,"

 Heard on IA No.7385/2015, an application for deleting the name of respondents No.2 Manju and No.3 Sameer."
166,"Adjacent west of the room/shop of the informant there is Saurabh Medical Hall, in front whereof also there is open space where the dead body of Sunil Kumar Singh the brother of the informant smeared with blood was found lying flat on the back with head of the deceased on the southern side."
167,"In Spl.C.C.No.134/1999, the accused is alleged to have misappropriated a sum of Rs.1,01,379/- during the period between 09.01.1995 to 24.08.1995"
168,"Elaborate and detailed arguments are advanced by both sides by inviting our attention to the pleadings, the orders impugned, the order in revision, the legal provisions and the rulings of Apex court and this High Court on the subject."
169,"

 20.Complainant has also filed written arguments wherein he has reiterated and reasserted the facts of the case."
170,"With regard to the second point, it was contended before the AAC that as the return was filed on 7th August, 1963, and the assessment was completed only on 27th December, 1965, the ITO should have exercised his discretion to reduce or waive the interest under the provisions of Rule 48 of the Indian I.T. Rules, 1922, or under Rule 40 of the I.T. Rules, 1962."
171,"Departmental action has been taken in P.R.No.312/03 under Rule 3(b) of the Tamil Nadu Police Subordinate Service (Discipline and Appeal) Rules, 1955 by the Deputy Inspector General of Police, Madurai Range, Madurai, framing three charges against the petitioner and the other police constables."
172,"In this case it has been held that the essence of the Code of Civil Procedure is to be exhaustive, so far as it goes."
173,It seems that it was sent to his old address.
174,It is not at all possible to accept the argument that the time spent by the I.T.C. In the departmental proceedings should not be taken into account for the purpose of explaining the delay in approaching this Court under Article 226 of the Constitution.
175,The terms for renewal are contained in Clause (4) of Condition No. 25 of the Tender Notice and the petitioner does not challenge his liability to get a renewal on the terms as contained in Clause (5).
176,"They had admittedly left India after the first day of March, 1947, for Pakistan and it appears from the counter-affidavits that they had left on account of the setting up of the dominions of India and Pakistan."
177,"Non-applicant produced witnesses NAW 1 M.B. Mandarvalia and other witnesses NAW 2 Chhotu Lal, owner of the vehicle, NAW 3 Subhash Singh Dabi and NAW 4 Riyaj Anwar and NAW 5 Sanjay Kumar."
178,"No doubt, civil and criminal jurisdiction is conferred on the Gram Katchahry, but the Gram Katchahry can sentence an accused to (i) simple imprisonment for a term not exceeding three months; (ii) fine not exceeding Rs. 1000/-, and in default of payment of fine, simple imprisonment not exceeding 15 days."
179,"The company was incorporated on the 13th of November, 1980."
180,"In 1994 MPU681 (M. P. Motor Yan Karadhan Adhiniyam) Naveen Raghunath Karnik v. State of M. P., the Division Bench of this Court held that Section 20 of the Adhiniyam contains an efficacious and alternative remedy on unsuccess Under Section 16(4) and aggrieved person has to pursue that course."
181,He also stated that on the date of incident at about 10-11 Om Prakash son of Koja Ram approached to him and informed that the persons of Muslim community of Village Hariar had surrounded their hut.
182,"Once such a provision was made, there is no doubt that an application before the Court has to be made within 3 years after the expiry of 90 days from the date of the application and if any application is made beyond the time so fixed in view of Article 137 of the Schedule to the Limitation Act, it is liable to be rejected in limine."
183,"Therefore, motive behind the crime is relevant factor for which evidence may be adduced."
184,"

 50) ISSUE No2 in M.V.C.No.6640/2013: PW3 has stated in her evidence that, her daughter Priya sustained fracture of both bones of left hand, abrasion over forehead and blunt injury over right side cheek."
185,"Paras 8 and 9 of the report in Susamma Thomas (Mrs.) (supra) are extracted hereunder:-
 ""8."
186,"In the said writ petition, Constable Ramachandran Nair filed a counter affidavit dated 11.01.1999 in which he made a confession that he had shot Naxalite Varghese on the instruction of the then Deputy Superintendent of Police (DSP), Lakshmana."
187,The above observations of the Tribunal made on the basis of the observations of the Supreme Court in Sahney Steel also how that the Tribunal was alive to the distinction between the character of the subsidy given with the object of promoting industrial growth in a particular area and the subsidy given conditional upon the commencement of production and after actual commencement of production.
188,"In Mohta Trading Co. v. Commissioner of Sales Tax [1976] 38 STC 11, the assessee was a dealer in cotton sewing thread."
189,"

 Ex. PW1/D1 is the statement dated 20/01/2003 of the plaintiff recorded before Hon'ble High Court of Delhi and Ex.PW1/D2 is the certified copy of the judgment of Hon'ble High Court of Delhi in CM(M)527/1999."
190,"When the bazar-day permits were proposed to be cancelled in the draft scheme, it cannot be argued that the scheme did not intend exclusive operation by the Corporation on the routes covered by the bazar-day permits."
191,"The third defence that there was no notice of dishonour is again answered by the provisions of Section 52(3) of the Bills of Exchange Act, 1882 to which a reference has already been made."
192,It was held that once an award has been made a party cannot raise more disputes which he/ it could and ought to have been raised.
193,"On 12-4-1991 the counsel for the 2nd respondent i.e., Sri T. V. Ramana endorsed on the said complaint petition"" and the complaint was ""dismissed since not pressed"" by the learned Magistrate."
194,"Plaintiff being the highest bidder, his bid was accepted and he deposited an amount of Rupees 2,949/-."
195,"It is, therefore, clear that if this Court decrees the suit, the decree can be executed under the reciprocal arrangement in the U.K."
196,I fail to appreciate how the Customs authorities can bypass the orders passed by the Tribunal dealing with the identical issues.
