,Text
10,"['In', 'The', 'High', 'Court', 'Of', 'Kerala', 'At', 'Ernakulam', 'WP(Crl.).No.', '323', 'of', '2009(S)', '1.', 'Shruthi', 'P.,', 'W/O.Ravi.K.,', '...', 'Petitioner', 'Vs', '1.', 'State', 'Of', 'Kerala,', '...', 'Respondent', '2.', 'District', 'Magistrate', '3.', 'Superintendent,', 'Central', 'Prison,', 'For', 'Petitioner', ':Sri.Bechu', 'Kurian', 'Thomas', 'For', 'Respondent', ':Government', 'Pleader', 'The', ""Hon'ble"", 'Mr.', 'Justice', 'R.Basant', 'The', ""Hon'ble"", 'Mrs.', 'Justice', 'M.C.Hari', 'Rani', 'Dated', ':06/10/2009', 'O', 'R', 'D', 'E', 'R', 'R.Basant', '&', 'M.C.Hari', 'Rani,', 'Jj.', '------------------------------------', 'W.P(Crl.)', 'No.323', 'of', '2009', '-------------------------------------', 'Dated', 'this', 'the', '6th', 'day', 'of', 'October,', '2009', 'Judgment']"
11,"['Kambli', '1', 'Wp1688.10', 'In', 'The', 'High', 'Court', 'Of', 'Judicature', 'At', 'Bombay', 'Civil', 'Appellate', 'Jurisdiction', 'Writ', 'Petition', 'No.', '1688', 'Of', '2010', '...', 'Tanaji', 'Madhukar', 'Barbade', '...Petitioner', 'v/s.', 'State', 'of', 'Maharashtra', '&', 'ors.', '...Respondents', '...', 'Mr.G.N.Salunke', 'for', 'the', 'Petitioner.', 'Mr.S.R.Nargolkar,', 'Addl.GP', 'for', 'State.', '...', 'Coram:', 'D.K.', 'Deshmukh,', 'Anoop', 'V.', 'Mohta', '&', 'Ranjit', 'More,Jjj', 'Dated:', '26th', 'October,', '2010', 'Judgment']"
12,"['In', 'The', 'High', 'Court', 'Of', 'Judicature', 'At', 'Madras', 'Dated:', '02/08/2006', 'Coram', 'The', ""Hon'Ble"", 'MR.A.P.Shah,', 'Chief', 'Justice', 'And', 'The', ""Hon'Ble"", 'Mr.Justice', 'D.Murugesan', 'W.A.', 'No.443', 'of', '2006', 'to', 'W.A.', 'No.445', 'of', '2006', 'and', 'W.A.', 'No.485', 'of', '2006', 'to', 'W.A.', 'No.487', 'of', '2006', 'And', 'Wamp.', 'No.1002', 'of', '2006', 'and', 'Wamp.', 'No.1003', 'of', '2006', 'R.', 'Shanmugam', '..Appellant', 'in', 'Wa', '443', 'of', '2006', 'Ammasi', 'Kutty', '..', 'Appellant', 'in', 'Wa', '444', 'of', '2006', '1.', 'M.', 'Duraisamy', '2.', 'M.', 'Mani', '..', 'Appellants', 'in', 'Wa', '445', 'of', '2006', '1.', 'M.', 'Manimekalai', '2.', 'S.', 'Maruthachalam', '..', 'Appellants', 'in', 'Wa', '485', 'of', '2006', '1.', 'Perichiappa', 'Gounder', '2.', 'Kumarasamy', '3.', 'Maruchamy', 'Gounder', '4.', 'A.', 'Natarajan', '5.', 'Ramasamy', 'Gounder', '6.', 'Marathal', '7.', 'Ganesh', '8.', 'Radhamani', '..', 'Appellants', 'in', 'Wa', '486', 'of', '2006', '1.', 'Sellappa', 'Gounder', '2.', 'G.', 'Karunanidhi', '..', 'Appellants', 'in', 'Wa', '487', 'of', '2006', '-Vs-', '1.', 'The', 'State', 'of', 'Tamil', 'Nadu', 'rep.', 'by', 'its', 'Secretary', 'Housing', 'and', 'Urban', 'Development', 'Fort', 'St.', 'George,', 'Chennai', '600', '009', '2.', 'The', 'Tamil', 'Nadu', 'Housing', 'Board', 'represented', 'by', 'its', 'Managing', 'Director', 'No.331,', 'Anna', 'Salai,', 'Nandanam', 'Chennai-35.', '3.', 'The', 'Special', 'Tahsildar', 'Housing', 'Scheme', 'Unit-II', 'Coimbatore-18.', '..Respondents', 'in', 'all', 'W.As.', 'Memorandum', 'of', 'Grounds', 'of', 'Writ', 'Appeals', 'under', 'Clause', '15', 'of', 'the', 'Letters', 'Patent,', 'against', 'the', 'order', 'of', 'the', 'learned', 'Judge', 'dated', '23.12.2005', 'passed', 'in', 'W.P.No.37583', 'of', '2004,20237', 'of', '2005,24968', 'of', '2005,37578', 'of', '2004,37580', 'of', '2004', 'and', '20176', 'of', '2005', 'respectively.', '!For', 'Appellants', ':', 'Mr.K.Chandru', 'in', 'all', 'Appeals', 'Senior', 'counsel', 'for', 'Mr.R.N.Amarnath', '^For', '2nd', 'Respondents', ':', 'Mr.R.', 'Vidhuthalai', 'in', 'all', 'appeals', 'Advocate', 'General', 'For', 'Mr.D.Veerasekaran', 'For', 'respondents', ':', 'Mr.J.Rajakalifullah', '1', 'and', '3', 'in', 'all', 'appeals', 'Govt.', 'Pleader', ':Judgment']"
13,"['1', 'In', 'The', 'Court', 'Of', 'Ms.', 'Veena', 'Rani,', 'Chief', 'Metropolitan', 'Magistrate,', 'District', 'South', 'East,', 'Saket', 'Court,', 'New', 'Delhi.', 'State', 'Versus', 'Abid', '@', 'Guddu', 'Fir', 'No:196/2011', 'U/s', '25/54/59', 'Arms', 'Act', 'P.', 'S.', 'Kalkaji', 'Date', 'of', 'filing', 'of', 'the', 'charge', 'sheet', ':', '06\xad08\xad2011', 'Date', 'of', 'reserving', 'order', ':', 'Not', 'reserved.', 'Date', 'of', 'pronouncement', ':', '26\xad09\xad2014', 'Judgment']"
14,"['In', 'The', 'High', 'Court', 'Of', 'Judicature', 'At', 'Patna', 'Letters', 'Patent', 'Appeal', 'No.2294', 'of', '2015', 'Arising', 'out', 'of', 'Civil', 'Writ', 'Jurisdiction', 'Case', 'No.', '17721', 'of', '2015', '===========================================================', 'Amrawati', 'Devi,', 'wife', 'of', 'Sri', 'Dinanath', 'Yadav,', 'Resident', 'of', 'Mohallla-', 'Manik', 'Chand', 'Talab,', 'P.O.', 'Anishabad,', 'P.S.', 'Gardanibagh,', 'District-', 'Patna.', '....', '....', 'Appellant', 'Versus', '1.', 'The', 'State', 'of', 'Bihar', 'through', 'the', 'Principal', 'Secretary,', 'Urban', 'Development', 'and', 'Town', 'Planning', 'Department,', 'Government', 'of', 'Bihar,', 'Patna.', '2.', 'The', 'Principal', 'Secretary,', 'Urban', 'Development', 'and', 'Town', 'Planning', 'Department,', 'Government', 'of', 'Bihar.', '3.', 'The', 'Principal', 'Secretary,', 'Department', 'of', 'Law', 'and', 'Justice', 'Department,', 'Government', 'of', 'Bihar.', '4.', 'Patna', 'Municipal', 'Corporation', 'through', 'its', 'Chief', 'Executive', 'Officer,', 'Maurya', 'Lok', 'Building,', 'Bailey', 'Road,', 'Patna.', '5.', 'Mr.', 'Binod', 'Kumar,', 'son', 'of', 'Sri', 'Janak', 'Prasad', 'Singh,', 'Resident', 'of', 'Mohalla-', 'Mohanpur,', 'Punaichak,', 'P.O', 'and', 'P.S.', 'Shastri', 'Nagar,', 'District-', 'Patna.', '6.', 'Roop', 'Narayan,', 'son', 'of', 'Shri', 'Ram', 'Narayan', 'Prasad,', 'Resident', 'of', 'Mohalla-', 'Mehandiganj,', 'P.O', 'and', 'P.S.', 'Patna', 'City,', 'District-Patna,', 'Bihar.', '....', '....', 'Respondents', '===========================================================', 'Appearance', ':', 'For', 'the', 'Appellant', ':', 'Mr.', 'Vinod', 'Kanth,', 'Sr.', 'Advocate.', 'Mr.', 'S.B.K.', 'Manglam,', 'Advocate.', 'Mr.', 'Ravi', 'Ranjan,', 'Advocate.', 'For', 'the', 'State', ':', 'Mr.', 'Lalit', 'Kishore,', 'P.A.A.G.', 'Mr.', 'U.S.S.', 'Singh,', 'G.P.-I', 'Mr.', 'R.K.', 'Chandram,', 'A.C.', 'to', 'G.P.-I', 'For', 'Respondent', 'No.', '6', ':', 'Mr.', 'Jitendra', 'Singh,', 'Sr.', 'Advocate.', 'Mr.', 'Piyush', 'Lall,', 'Advocate.', 'Mr.', 'Yash', 'Singh,', 'Advocate', 'Mr.', 'Tej', 'Pratap', 'Singh,', 'Advocate.', 'Mr.', 'Kamal', 'Kishore', 'Singh,', 'Advocate.', 'For', 'the', 'Corporation', ':', 'Mr.', 'Prasoon', 'Sinha,', 'Advocate.', '===========================================================', 'Coram:', 'Honourable', 'Mr.', 'Justice', 'I.', 'A.', 'Ansari,', 'A.C.J.', 'and', 'Honourable', 'Mr.', 'Justice', 'Hemant', 'Gupta', 'C.A.V.', 'Judgment']"
15,"['In', 'The', 'High', 'Court', 'Of', 'Judicature', 'At', 'Patna', 'Criminal', 'Appeal', '(Db)', 'No.196', 'of', '2008', '===========================================================', 'Raju', 'Mistri', '@', 'Riyazuddin,', 'son', 'of', 'Wafati', 'Mian,', 'resident', 'of', 'Nayee', 'Bazar,', 'P.S.', 'Bhagwan', 'Bazar,', 'Distt-', 'Saran', 'at', 'Chapra', '....', '....', 'Appellant/s', 'Versus', 'State', 'Of', 'Bihar', '....', '....', 'Respondent/s', '===========================================================', 'Appearance', ':', 'For', 'the', 'Appellant/s', ':', 'Mr.', 'Ashutosh', 'Kumar,', 'Adv.', 'For', 'the', 'Respondent/s', ':', 'Ms.', 'Shashi', 'Bala', 'Verma,', 'App', '===========================================================', 'Coram:', 'Honourable', 'Mr.', 'Justice', 'Mihir', 'Kumar', 'Jha', 'and', 'Honourable', 'Mr.', 'Justice', 'Aditya', 'Kumar', 'Trivedi', 'Cav', 'Judgment']"
16,"[""Hon'Ble"", 'Sri', 'Justice', 'K.C.Bhanu', ""Hon'Ble"", 'Sri', 'Justice', 'M.S.Ramachandra', 'Rao', 'Criminal', 'Appeal', 'Nos.1012', 'of', '2008', 'and', 'batch', 'dated:14-03-2013', 'Muddana', 'Goud', 'and', 'others....APPELLANTS', 'State', 'of', 'Ap,', 'rep', 'by', 'Public', 'Prosecutor,', 'High', 'Court,', 'Hyderabad....RESPONDENT', '<Gist:', '>Head', 'Note:', '!Counsel', 'for', 'Appellants', 'in', 'Crl.A.No.1012', 'of', '2008', 'and', 'for', 'respondents', 'in', 'Crl.A.No.475', 'of', '2010:Smt.', 'D.Sangeetha', 'Reddy', '^Counsel', 'for', 'State:', 'Addl.', 'Public', 'Prosecutor', '?Cases', 'referred:', '1', '2007', '(2)', 'Alt', 'Crl', '1', '(D.B.)', '(A.P.)', 'Common', 'Judgment']"
17,"['1', 'High', 'Court', 'Of', 'Madhya', 'Pradesh', ':', 'Jabalpur.', 'First', 'Appeal', 'No.961/2010', 'Harjas', 'Rai', 'Makhija', '-Versus-', 'Smt.', 'Pushparani', 'Jain', 'and', 'another.', 'Present', ':', ""Hon'ble"", 'Shri', 'Justice', 'K.K.', 'Trivedi.', 'Shri', 'R.P.', 'Agrawal,', 'learned', 'senior', 'counsel', 'assisted', 'by', 'Shri', 'Sanjay', 'Agrawal,', 'learned', 'counsel', 'for', 'the', 'appellant.', 'Smt.', 'Shobha', 'Menon,', 'learned', 'senior', 'counsel', 'assisted', 'by', 'Shri', 'C.A.', 'Thomas,', 'learned', 'counsel', 'for', 'the', 'respondents.', 'Shri', 'P.S.', 'Chouhan,', 'learned', 'counsel', 'for', 'respondent', 'No.2.', 'Judgment']"
18,"['Petitioner:', 'Khandelwal', 'Metal', '&', 'Engineering', 'Works', 'And', 'Another', 'Etc.', 'Vs.', 'Respondent:', 'Union', 'Of', 'India', 'And', 'Others', 'Date', 'Of', 'Judgment']"
19,"['In', 'the', 'High', 'Court', 'of', 'Judicature', 'at', 'Madras', 'Dated:', '10/10/2003', 'Coram', 'The', ""Hon'ble"", 'Mrs.', 'Justice', 'R.Banumathi', 'C.R.P.(P.D.)', 'No.', '1147', 'of', '2001', 'K.K.Swaminathan', '..Petitioner', '-Vs-', 'Srinivasagam', '..Respondent', 'Civil', 'Revision', 'Petition', 'under', 'section', '115', 'of', 'Civil', 'Procedure', 'Code', 'filed', 'against', 'the', 'Order', 'dated', '16.03.2001', 'in', 'I.A.No.98/2001', 'in', 'O.S.No.24', '73/1996', 'on', 'the', 'file', 'of', 'Additional', 'District', 'Munsif', 'Court,', 'Coimbatore.', '!For', 'Petitioner', ':', 'Mr.A.Venkatesan', '^For', 'Respondent', ':', 'Ms.M.B.Dominique', 'for', 'Mr.P.Duraisamy', ':Order']"
20,"['Case', 'No.:', 'Tax', 'Reference', 'Case', '1-2', 'of', '1992', 'Petitioner:', 'Tuticorin', 'Alkali', 'Chemicals', 'And', 'Fertilizers', 'Ltd.', 'Madras', 'Respondent:', 'Commissioner', 'Of', 'Income', 'Tax,', 'Madras', 'Date', 'Of', 'Judgment']"
21,"[""Hon'Ble"", 'Sri', 'Justice', 'K.C.Bhanu', 'And', ""Hon'Ble"", 'Sri', 'Justice', 'Challa', 'Kodanda', 'Ram', 'Criminal', 'Appeal', 'No.722', 'Of', '2011', 'And', 'dated:12-06-2013', 'Karam', 'Sreenivasu', 'Dora', '....', 'Appellant', 'The', 'State', 'of', 'Andhra', 'Pradesh,', 'rep.by', 'its', 'Public', 'Prosecutor,', 'High', 'Court', 'of', 'Andhra', 'Pradesh,', 'Hyderabad.....RESPONDENT', 'Counsel', 'for', 'the', 'appellant:Sri', 'P.Prabhakar', 'Reddy', 'Counsel', 'for', 'the', 'respondent:', 'Public', 'Prosecutor', '<Gist:', '>Head', 'Note:', '?Cases', 'referred:', '1.', 'A.I.R.1952', 'Sc', '343', '2.', '(1973)', '2', 'Scc', '793', '3.', 'Air', '1984', 'Sc', '1622', '4.', '(2009)13', 'Supreme', 'Court', 'Cases', '534', '5.', '(2012)', '6', 'Supreme', 'Court', 'Cases', '403', '6.', 'A.I.R.1971', 'Sc', '1871', '7.', '(2006)', '13', 'Scc', '516', '8.', 'A.I.R.1956', 'Sc', '116', '9.', 'A.I.R.1980', 'Sc', '898', '10.(2002)4', 'Scc', '679', ""Hon'Ble"", 'Sri', 'Justice', 'K.C.Bhanu', 'And', ""Hon'Ble"", 'Sri', 'Justice', 'Challa', 'Kodanda', 'Ram', 'Criminal', 'Appeal', 'No.722', 'Of', '2011', 'And', 'Referred', 'Trial', 'No.7', 'Of', '2012', 'Common', 'Judgment']"
