,overall_text,start,end,text,label
10,"In The High Court Of Kerala At Ernakulam

WP(Crl.).No. 323 of 2009(S)


1. Shruthi P., W/O.Ravi.K.,
                      ...  Petitioner

                        Vs



1. State Of Kerala,
                       ...       Respondent

2. District Magistrate

3. Superintendent, Central Prison,

                For Petitioner  :Sri.Bechu Kurian Thomas

                For Respondent  :Government Pleader

The Hon'ble Mr. Justice R.Basant
The Hon'ble Mrs. Justice M.C.Hari Rani

 Dated :06/10/2009

 O R D E R
                R.Basant & M.C.Hari Rani, Jj.
                     ------------------------------------
                    W.P(Crl.) No.323 of 2009
                     -------------------------------------
              Dated this the 6th day of October, 2009

                              Judgment
","[7, 75, 172, 237, 261, 331, 429, 463, 525, 536]","[40, 85, 187, 256, 291, 350, 437, 476, 533, 549]","['High Court Of Kerala At Ernakulam', 'Shruthi P.', 'State Of Kerala', 'District Magistrate', 'Superintendent, Central Prison', 'Bechu Kurian Thomas', 'R.Basant', 'M.C.Hari Rani', 'R.Basant', 'M.C.Hari Rani']","['COURT', 'PETITIONER', 'RESPONDENT', 'RESPONDENT', 'RESPONDENT', 'LAWYER', 'JUDGE', 'JUDGE', 'JUDGE', 'JUDGE']"
11,"Kambli                 1                            Wp1688.10

           In The High Court Of Judicature At Bombay

                       Civil Appellate Jurisdiction




                                                                          
              Writ Petition No. 1688 Of 2010




                                                  
                          ...
 Tanaji Madhukar Barbade ...Petitioner v/s. 

 State of Maharashtra & ors. ...Respondents ... 

 Mr.G.N.Salunke for the Petitioner. Mr.S.R.Nargolkar, Addl.GP for State. 

 ... 

 Coram: D.K. Deshmukh, Anoop V. Mohta & Ranjit More,Jjj Dated: 26th October, 2010 Judgment","[81, 379, 425, 478, 513, 564, 579, 596]","[115, 402, 445, 489, 526, 577, 593, 607]","['High Court Of Judicature At Bombay', 'Tanaji Madhukar Barbade', 'State of Maharashtra', 'G.N.Salunke', 'S.R.Nargolkar', 'D.K. Deshmukh', 'Anoop V. Mohta', 'Ranjit More']","['COURT', 'PETITIONER', 'RESPONDENT', 'LAWYER', 'LAWYER', 'JUDGE', 'JUDGE', 'JUDGE']"
12,"In The High Court Of Judicature At Madras           

Dated: 02/08/2006  

Coram   

The Hon'Ble MR.A.P.Shah, Chief Justice       
And  
The Hon'Ble Mr.Justice D.Murugesan          

W.A. No.443 of 2006 
 to
 W.A. No.445 of 2006 
 and
 W.A. No.485 of 2006 
 to
 W.A. No.487 of 2006 
 And 
 Wamp. No.1002 of 2006   
 and
 Wamp. No.1003 of 2006   

R. Shanmugam                   ..Appellant
                                  in Wa 443 of 2006

Ammasi Kutty                    .. Appellant
                                   in Wa 444 of 2006

1. M. Duraisamy 
2. M. Mani
                                .. Appellants
                                   in Wa 445 of 2006

1. M. Manimekalai 
2. S. Maruthachalam             .. Appellants
                                   in Wa 485 of 2006

1.  Perichiappa Gounder
2.  Kumarasamy  
3.  Maruchamy Gounder  
4.  A. Natarajan
5.  Ramasamy Gounder   
6.  Marathal
7.  Ganesh 
8.  Radhamani 
                                .. Appellants
                                   in Wa 486 of 2006

1. Sellappa Gounder 
2. G. Karunanidhi               .. Appellants
                                   in Wa 487 of 2006


-Vs-

1. The State of  Tamil Nadu
    rep. by its Secretary
    Housing and Urban
    Development
    Fort St. George,
    Chennai 600 009

2. The Tamil Nadu Housing Board 
   represented by its
   Managing Director

   No.331, Anna Salai,
   Nandanam 
   Chennai-35.

3. The Special Tahsildar
   Housing Scheme Unit-II
   Coimbatore-18.
                                ..Respondents
                                  in all W.As.

        Memorandum of Grounds of Writ Appeals under Clause 15 of  the  Letters
Patent,  against  the  order  of  the learned Judge dated 23.12.2005 passed in
W.P.No.37583 of 2004,20237 of 2005,24968 of 2005,37578 of 2004,37580  of  2004  
and 20176 of 2005 respectively.

!For Appellants         :  Mr.K.Chandru
 in all Appeals            Senior counsel for
                           Mr.R.N.Amarnath

^For 2nd Respondents    :  Mr.R.  Vidhuthalai
 in all appeals            Advocate General
                           For Mr.D.Veerasekaran

For respondents         :  Mr.J.Rajakalifullah
1 and 3 in all appeals     Govt.  Pleader



:Judgment","[7, 97, 160, 347, 443, 545, 562, 673, 692, 793, 817, 834, 858, 875, 899, 912, 924, 1038, 1059, 1170, 1304, 1433, 1891, 1977, 2021, 2115, 2161]","[41, 108, 171, 359, 455, 557, 569, 687, 708, 812, 827, 851, 870, 891, 907, 918, 933, 1054, 1073, 1190, 1328, 1450, 1900, 1989, 2036, 2129, 2177]","['High Court Of Judicature At Madras', 'MR.A.P.Shah', 'D.Murugesan', 'R. Shanmugam', 'Ammasi Kutty', 'M. Duraisamy', 'M. Mani', 'M. Manimekalai', 'S. Maruthachalam', 'Perichiappa Gounder', 'Kumarasamy', 'Maruchamy Gounder', 'A. Natarajan', 'Ramasamy Gounder', 'Marathal', 'Ganesh', 'Radhamani', 'Sellappa Gounder', 'G. Karunanidhi', 'State of  Tamil Nadu', 'Tamil Nadu Housing Board', 'Special Tahsildar', 'K.Chandru', 'R.N.Amarnath', 'R.  Vidhuthalai', 'D.Veerasekaran', 'J.Rajakalifullah']","['COURT', 'JUDGE', 'JUDGE', 'PETITIONER', 'PETITIONER', 'PETITIONER', 'PETITIONER', 'PETITIONER', 'PETITIONER', 'PETITIONER', 'PETITIONER', 'PETITIONER', 'PETITIONER', 'PETITIONER', 'PETITIONER', 'PETITIONER', 'PETITIONER', 'PETITIONER', 'PETITIONER', 'RESPONDENT', 'RESPONDENT', 'RESPONDENT', 'LAWYER', 'LAWYER', 'LAWYER', 'LAWYER', 'LAWYER']"
13,"1

     In The Court Of Ms. Veena Rani, Chief Metropolitan 
   Magistrate, District South East, Saket Court, New Delhi.

           State           Versus                       Abid @ Guddu


Fir No:196/2011
U/s 25/54/59 Arms Act 
P. S. Kalkaji

Date of filing of the charge sheet     :         06­08­2011
Date of reserving order                :         Not reserved.
Date of pronouncement                  :         26­09­2014

                                     Judgment
","[28, 96, 132, 177]","[38, 118, 137, 181]","['Veena Rani', 'Saket Court, New Delhi', 'State', 'Abid']","['JUDGE', 'COURT', 'PETITIONER', 'RESPONDENT']"
14,"In The High Court Of Judicature At Patna

                    Letters Patent Appeal No.2294 of 2015
                                 Arising out of
                 Civil Writ Jurisdiction Case No. 17721 of 2015
===========================================================
Amrawati Devi, wife of Sri Dinanath Yadav, Resident of Mohallla- Manik Chand Talab, P.O. Anishabad, P.S. Gardanibagh, District- Patna. 

 .... .... Appellant Versus
1. The State of Bihar through the Principal Secretary, Urban Development and Town Planning Department, Government of Bihar, Patna. 

2. The Principal Secretary, Urban Development and Town Planning Department, Government of Bihar. 

3. The Principal Secretary, Department of Law and Justice Department, Government of Bihar. 

4. Patna Municipal Corporation through its Chief Executive Officer, Maurya Lok Building, Bailey Road, Patna. 

5. Mr. Binod Kumar, son of Sri Janak Prasad Singh, Resident of Mohalla- Mohanpur, Punaichak, P.O and P.S. Shastri Nagar, District- Patna. 

6. Roop Narayan, son of Shri Ram Narayan Prasad, Resident of Mohalla- Mehandiganj, P.O and P.S. Patna City, District-Patna, Bihar. 

 .... .... Respondents =========================================================== Appearance :
For the Appellant : Mr. Vinod Kanth, Sr. Advocate. 

 Mr. S.B.K. Manglam, Advocate. 

 Mr. Ravi Ranjan, Advocate. 

For the State         : Mr. Lalit Kishore, P.A.A.G.
                         Mr. U.S.S. Singh, G.P.-I
                         Mr. R.K. Chandram, A.C. to G.P.-I
For Respondent No. 6 : Mr. Jitendra Singh, Sr. Advocate. 

 Mr. Piyush Lall, Advocate. 

 Mr. Yash Singh, Advocate Mr. Tej Pratap Singh, Advocate. 

 Mr. Kamal Kishore Singh, Advocate. 

For the Corporation : Mr. Prasoon Sinha, Advocate. =========================================================== Coram: Honourable Mr. Justice I. A. Ansari, A.C.J. 

 and Honourable Mr. Justice Hemant Gupta C.A.V. Judgment","[7, 272, 444, 577, 676, 765, 880, 1016, 1266, 1300, 1333, 1386, 1439, 1489, 1546, 1583, 1613, 1638, 1673, 1732, 1847, 1898]","[40, 285, 458, 665, 758, 792, 891, 1028, 1277, 1314, 1344, 1399, 1451, 1502, 1560, 1594, 1623, 1654, 1692, 1745, 1859, 1910]","['High Court Of Judicature At Patna', 'Amrawati Devi', 'State of Bihar', 'Principal Secretary, Urban Development and Town Planning Department, Government of Bihar', 'Principal Secretary, Department of Law and Justice Department, Government of Bihar', 'Patna Municipal Corporation', 'Binod Kumar', 'Roop Narayan', 'Vinod Kanth', 'S.B.K. Manglam', 'Ravi Ranjan', 'Lalit Kishore', 'U.S.S. Singh', 'R.K. Chandram', 'Jitendra Singh', 'Piyush Lall', 'Yash Singh', 'Tej Pratap Singh', 'Kamal Kishore Singh', 'Prasoon Sinha', 'I. A. Ansari', 'Hemant Gupta']","['COURT', 'PETITIONER', 'RESPONDENT', 'RESPONDENT', 'RESPONDENT', 'RESPONDENT', 'PETITIONER', 'PETITIONER', 'LAWYER', 'LAWYER', 'LAWYER', 'LAWYER', 'LAWYER', 'LAWYER', 'LAWYER', 'LAWYER', 'LAWYER', 'LAWYER', 'LAWYER', 'LAWYER', 'JUDGE', 'JUDGE']"
15,"In The High Court Of Judicature At Patna

                      Criminal Appeal (Db) No.196 of 2008
===========================================================
Raju Mistri @ Riyazuddin, son of Wafati Mian, resident of Nayee Bazar, P.S. Bhagwan Bazar, Distt- Saran at Chapra .... .... Appellant/s Versus State Of Bihar .... .... Respondent/s =========================================================== Appearance :
For the Appellant/s :     Mr. Ashutosh Kumar, Adv.
For the Respondent/s :    Ms. Shashi Bala Verma, App
=========================================================== Coram: Honourable Mr. Justice Mihir Kumar Jha and Honourable Mr. Justice Aditya Kumar Trivedi Cav Judgment","[7, 160, 303, 444, 495, 608, 651]","[40, 171, 317, 458, 512, 623, 671]","['High Court Of Judicature At Patna', 'Raju Mistri', 'State Of Bihar', 'Ashutosh Kumar', 'Shashi Bala Verma', 'Mihir Kumar Jha', 'Aditya Kumar Trivedi']","['COURT', 'PETITIONER', 'RESPONDENT', 'LAWYER', 'LAWYER', 'JUDGE', 'JUDGE']"
16,"Hon'Ble Sri Justice K.C.Bhanu  Hon'Ble Sri Justice M.S.Ramachandra Rao    
Criminal Appeal Nos.1012 of 2008 and batch     

dated:14-03-2013 

Muddana Goud and others....APPELLANTS     

State of Ap, rep by Public Prosecutor, High Court, Hyderabad....RESPONDENT   <Gist: 
>Head Note:    
!Counsel for Appellants in Crl.A.No.1012 of 2008 and for respondents in Crl.A.No.475 of 2010:Smt. D.Sangeetha Reddy ^Counsel for State: Addl. Public Prosecutor ?Cases referred:
1 2007 (2) Alt Crl 1 (D.B.) (A.P.) Common Judgment","[20, 51, 143, 187, 386]","[29, 70, 155, 198, 403]","['K.C.Bhanu', 'M.S.Ramachandra Rao', 'Muddana Goud', 'State of Ap', 'D.Sangeetha Reddy']","['JUDGE', 'JUDGE', 'PETITIONER', 'RESPONDENT', 'LAWYER']"
17,"1




     High Court Of Madhya Pradesh : Jabalpur.

                   First Appeal No.961/2010

                        Harjas Rai Makhija
                             -Versus-
            Smt. Pushparani Jain and another.


Present : Hon'ble Shri Justice K.K. Trivedi.




            Shri R.P. Agrawal, learned senior counsel assisted by
            Shri Sanjay Agrawal, learned counsel for the
            appellant.

            Smt. Shobha Menon, learned senior counsel assisted
            by Shri C.A. Thomas, learned counsel for the
            respondents.
            Shri P.S. Chouhan, learned counsel for respondent
            No.2.



                         Judgment
","[11, 122, 196, 258, 293, 359, 440, 506, 585]","[51, 140, 211, 270, 305, 373, 452, 517, 597]","['High Court Of Madhya Pradesh : Jabalpur.', 'Harjas Rai Makhija', 'Pushparani Jain', 'K.K. Trivedi', 'R.P. Agrawal', 'Sanjay Agrawal', 'Shobha Menon', 'C.A. Thomas', 'P.S. Chouhan']","['COURT', 'PETITIONER', 'RESPONDENT', 'JUDGE', 'LAWYER', 'LAWYER', 'LAWYER', 'LAWYER', 'LAWYER']"
18,"Petitioner:
Khandelwal Metal & Engineering Works And Another Etc.

	Vs.

Respondent:
Union Of India And Others

Date Of Judgment","[12, 85]","[48, 99]","['Khandelwal Metal & Engineering Works', 'Union Of India']","['PETITIONER', 'RESPONDENT']"
19,"In the High Court of Judicature at Madras

Dated: 10/10/2003

Coram

The Hon'ble Mrs. Justice R.Banumathi

C.R.P.(P.D.) No. 1147 of 2001

K.K.Swaminathan                            ..Petitioner

-Vs-

Srinivasagam                                ..Respondent


        Civil Revision Petition under section  115  of  Civil  Procedure  Code
filed  against  the  Order  dated  16.03.2001  in  I.A.No.98/2001 in O.S.No.24
73/1996 on the file of Additional District Munsif Court, Coimbatore.

!For Petitioner :  Mr.A.Venkatesan

^For Respondent :  Ms.M.B.Dominique for Mr.P.Duraisamy


:Order","[7, 94, 138, 201, 510, 546, 567]","[41, 105, 153, 213, 522, 559, 578]","['High Court of Judicature at Madras', 'R.Banumathi', 'K.K.Swaminathan', 'Srinivasagam', 'A.Venkatesan', 'M.B.Dominique', 'P.Duraisamy']","['COURT', 'JUDGE', 'PETITIONER', 'RESPONDENT', 'LAWYER', 'LAWYER', 'LAWYER']"
