,overall_text,start,end,text,label
31,"Considering the evidence on record I find that the accused has not brought any credible evidence to rebut the presumptions provided in Section 114, Illustration (f) of the Evidence Act, 1872 and Section 27 of the General Clauses Act, 1897 and further looking at the mandate given by the H'onble Supreme Court in C.C. Alavi Hazi Vs.Palapetty Mohd. & Anr","[135, 172, 195, 213, 295, 312]","[164, 190, 205, 238, 308, 352]","['Section 114, Illustration (f)', 'Evidence Act, 1872', 'Section 27', 'General Clauses Act, 1897', 'Supreme Court', 'C.C. Alavi Hazi Vs.Palapetty Mohd. & Anr']","['PROVISION', 'STATUTE', 'PROVISION', 'STATUTE', 'COURT', 'PRECEDENT']"
32,"He proved report Ex.Pw19/A which says that thumb impression appearing in Ex.Pw18/A and Ex.Pw18/B are identical with that appearing in FIR No: 156/04 State v. Angoori Devi Page No.10/19 original card Ex.Pw18/E. 

11.",[],[],[],[]
33,To complete the narration of facts since the defendants sold the land in violation of the interim injunction granted by this Court on 5-7-1990 the plaintiffs filed CMA No. 6727 of 93 to punish the defendants under Order 39 Rules 2A read with 151 CPC seeking detention of the defendants in civil prison and to attach their property in the hands of the alienees.,"[134, 164, 214, 246]","[142, 182, 245, 249]","['5-7-1990', 'CMA No. 6727 of 93', 'Order 39 Rules 2A read with 151', 'CPC']","['DATE', 'CASE_NUMBER', 'PROVISION', 'STATUTE']"
34,"We now proceed to examine the evidence of the witnesses of the petitioner who were produced to prove that Shri Krishna Kumar visited Lakhaya, Nayagaon, Rejhadi and Anandpura villages on 21st February, 1962, in the evening, accompanied by Shankar Lal, and told the electors that Shankar Lal would take them to the polling station in a truck on the next day.","[111, 133, 142, 152, 164, 186, 238, 278]","[124, 140, 150, 159, 173, 205, 249, 289]","['Krishna Kumar', 'Lakhaya', 'Nayagaon', 'Rejhadi', 'Anandpura', '21st February, 1962', 'Shankar Lal', 'Shankar Lal']","['OTHER_PERSON', 'GPE', 'GPE', 'GPE', 'GPE', 'DATE', 'OTHER_PERSON', 'OTHER_PERSON']"
35,"There was no regular TADA Court at Mumbai and TADA case's trial was likely to take some time to commence and, therefore, a fresh bail application was filed.","[21, 46]","[41, 50]","['TADA Court at Mumbai', 'TADA']","['COURT', 'STATUTE']"
36,"Please see - State of Rajasthan v. Rajendra Singh, (2009) 11 SCC 106:(AIR 1998 SC 2554).",[13],[87],"['State of Rajasthan v. Rajendra Singh, (2009) 11 SCC 106:(AIR 1998 SC 2554)']",['PRECEDENT']
37,"According to him, the ratio in the case of H.R. Sugar Factory (P) Ltd. 187 ITR 363, on which reliance has been placed by the AO as well as by the learned CIT(A), is not applicable to the facts of this case.",[43],[82],['H.R. Sugar Factory (P) Ltd. 187 ITR 363'],['PRECEDENT']
38,"The Superintendent of Jail can grant parole upto a period of seven days subject to confirmation by the Inspector General, Prisons.",[],[],[],[]
39,"We affirm the death sentence passed by the trial court as also the other sentences passed under Sections 364 and 376 I.P.C. 

45.","[96, 117]","[116, 123]","['Sections 364 and 376', 'I.P.C.']","['PROVISION', 'STATUTE']"
40,"During the raid, 47 persons including the petitioners were arrested, several documents found on the premises or with the persons arrested were seized and the accused were released on bail by the police.",[],[],[],[]
41,"While dealing with the said issue, this Court opined that:-
 ""It is settled law that disputes relating to contracts cannot be agitated under Article 226 of the Constitution of India.","[141, 160]","[152, 181]","['Article 226', 'Constitution of India']","['PROVISION', 'STATUTE']"
42,"Even assuming, although we shall presently show that it is not so, that in such a case an order of the Court taking cognizance or issuing processes is an interlocutory order, does it stand to reason to say that inherent power of the High Court cannot be exercised for stopping the criminal proceeding as early as possible, instead of harassing the accused up to the end?",[],[],[],[]
43,"As to the judgment relied upon by the learned CIT (Departmental Representative) reported in (1962) 45 ITR 210 (SC) (supra), we find the same to be out of context.",[92],[114],['(1962) 45 ITR 210 (SC)'],['CASE_NUMBER']
44,At this conference the petitioner's partner Guidayal Berlia was present.,[44],[59],['Guidayal Berlia'],['OTHER_PERSON']
45,"It might have been given in Pash-bandi."" 
 ",[],[],[],[]
46,The Arbitrators set out several reasons in paragraph 7 of the original award in support of their view that section 56 of Indian Contract Act was not attracted in the instant case.,"[107, 121]","[117, 140]","['section 56', 'Indian Contract Act']","['PROVISION', 'STATUTE']"
47,"They asserted that the lands in suit appertained to village Basarh belonging to the 'debottar' estate and not to any of the villages of the plaintiff as claimed in the plaint, and the plaintiff had not been in possession of that disputed lands within 12 years of the suit, the possession being the possession of the deity.",[60],[66],['Basarh'],['GPE']
48,"In the instant case, the contract was for supply of pouches which were required by defendant for packaging certain medicines.",[],[],[],[]
49,"Sub-section (1) of s. 195, to the extent it is relevant lays an obligation on any person on securities or any other sum not being dividends chargeable under the provisions of the Act, to deduct tax at source at the rates in force.",[0],[25],['Sub-section (1) of s. 195'],['PROVISION']
50,He was again re-admitted in the hospital just six days thereafter on 1.4.96 and then discharged after one week's hospitalisation.,[69],[75],['1.4.96'],['DATE']
51,"Aggrieved by the said order, Home Department of the Government of Tamil Nadu and others filed Writ Appeal No. 479 of 2005.","[52, 94]","[76, 121]","['Government of Tamil Nadu', 'Writ Appeal No. 479 of 2005']","['ORG', 'CASE_NUMBER']"
52,It will be noticed that the Supreme Court did not altogether ban the evolution of a new head of public policy.,[28],[41],['Supreme Court'],['COURT']
53,"That in the year 1998, a massive cyclone hit the coast of Gujarat and caused severe damage to the appellant's property, machineries, equipments etc. at the refinery site.",[58],[65],['Gujarat'],['GPE']
54,"It lays down that no election to either House of Parliament shall be called in question except by an election petition presented to such authority, and hi such manner, as may be provided for, by or under any law made by the appropriate Legislature.",[49],[59],['Parliament'],['ORG']
55,"Reliance was also placed on Tribunal's decision in K. Viswanathan v. CC , which was relied on in Ion Exchange (supra).","[51, 97]","[71, 109]","['K. Viswanathan v. CC', 'Ion Exchange']","['PRECEDENT', 'ORG']"
56,"File be consigned to record room subject to furnishing of bail bonds u/s 437 A Cr.P.C. 

Announced in the open (ASHOK KUMAR) Court on 14.07.2014 MM­07, SOUTH EAST, SAKET, NEW DELHI, <span class=""hidden_text"" id=""span_26"">FIR No. 80/11 Page 26 of 26</span>","[71, 79, 106, 134, 164, 171]","[78, 86, 130, 144, 169, 180]","['s 437 A', 'Cr.P.C.', 'open (ASHOK KUMAR) Court', '14.07.2014', 'SAKET', 'NEW DELHI']","['PROVISION', 'STATUTE', 'COURT', 'DATE', 'GPE', 'GPE']"
57,"First, we shall take the facts of Writ Petition No. 1177 of 1974.",[34],[64],['Writ Petition No. 1177 of 1974'],['CASE_NUMBER']
58,"Therefore, Shri. Dharap, learned Counsel for the respondent submitted that the learned Single Judge was justified in holding that there is an unfair labour practice under item 4(c) of Schedule-II of the MRTU & PULP Act.","[17, 171, 203]","[23, 195, 218]","['Dharap', 'item 4(c) of Schedule-II', 'MRTU & PULP Act']","['OTHER_PERSON', 'PROVISION', 'STATUTE']"
59,"From this major premise or fixed point anchored and rooted in Section 13 of both HMA and CPC, the exceptions carved out by the Supreme Court would need to be examined.","[62, 81, 89, 127]","[72, 84, 92, 140]","['Section 13', 'HMA', 'CPC', 'Supreme Court']","['PROVISION', 'ORG', 'STATUTE', 'COURT']"
60,"In paras 7.4 and 7.6, the learned Judicial Member has highlighted as to how Shri Salauddin had explained his earlier statement dated 2.3.1993 in subsequent statement dated 11.3.1993 with reference to entries in his books of account.","[81, 133, 172]","[90, 141, 181]","['Salauddin', '2.3.1993', '11.3.1993']","['OTHER_PERSON', 'DATE', 'DATE']"
61,"Dy.Registrar was competent to pass winding up order as powers were delegated to him vide notification dated 18.10.77 issued by Delhi Administration, Delhi.","[108, 127, 149]","[116, 147, 154]","['18.10.77', 'Delhi Administration', 'Delhi']","['DATE', 'ORG', 'GPE']"
62,"Accepting the verdict, the Government of Tamil Nadu issued G.O.Ms.No.139 dated 25.07.2007.","[27, 79]","[51, 89]","['Government of Tamil Nadu', '25.07.2007']","['ORG', 'DATE']"
63,"When they were at Sharjah, Amna Muzaffar requested that her two brothers also be called there and get them employed some where, which was done by Mohd. Waqar, and after that, there was change in the behaviour of Amna Muzaffar, and she started treating him with cruelty and started demanding divorce.","[18, 27, 146, 212]","[25, 40, 157, 225]","['Sharjah', 'Amna Muzaffar', 'Mohd. Waqar', 'Amna Muzaffar']","['GPE', 'OTHER_PERSON', 'OTHER_PERSON', 'OTHER_PERSON']"
64,"In D.A.V. College v. State of Punjab and Ors. [1971 (Supp.) SCR 688], the question posed was as to what constituted a religious or linguistic minority, and how it was to be determined.",[3],[68],['D.A.V. College v. State of Punjab and Ors. [1971 (Supp.) SCR 688]'],['PRECEDENT']
65,"It is a matter of record that the representative of the assessee has not disproved the findings of inquiries made at Jodhpur which was duly communicated to him along with a copy of statements of alleged shareholders, ""but has filed copies of affidavits of some of the persons which are placed on records.",[117],[124],['Jodhpur'],['GPE']
66,"Majority of three judges, dissented by minority opinion of two judges, had held that the words ""things done"" in para 6 of the French Establishments' (Application of Laws) order was comprehensive enough to take within its ambit not only things done but also the effect of the legal consequences flowing therefrom.",[],[],[],[]
67,"This aspect is canvassed by the defence, pointing out that the injuries were inflicted only on the leg of the accused.",[],[],[],[]
68,"The Challenge to the validity of the above Clause 13 of the Standing Orders is based on Articles 14 and 16 of the Constitution of India which are being reproduced hereunder for ready reference:
Article 14. Equality before law: The State shall not deny to any person equality before the law or the equal protection of the laws within the territory of India.","[43, 88, 114, 194, 350]","[52, 106, 135, 204, 355]","['Clause 13', 'Articles 14 and 16', 'Constitution of India', 'Article 14', 'India']","['PROVISION', 'PROVISION', 'STATUTE', 'PROVISION', 'GPE']"
69,"What needs to be adverted to is that complainant is to be examined to bring on record ""Legal Evidence"", and not just to have the evidence of ""owner of the Negotiable instrument i.e. cheque"".",[],[],[],[]
70,"See Alien Berry & Co. v. Union of India, .",[4],[39],['Alien Berry & Co. v. Union of India'],['PRECEDENT']
71,"To achieve this aspect, the Legislature had deleted (b) clause of proviso with an intention that the interlocutory orders should not be interfered with in the revisional jurisdiction of the High Court.",[52],[73],['(b) clause of proviso'],['PROVISION']
72,"It is evident that the drawer has failed to make the payment CC no. 126/14 Bhoopindra kumar Vs. Meenu Verma  of cheque amount in question within 15 days of the receipt of aforesaid notice, thus, the present complaint U/s 138 NI Act has been initiated against the accused.","[61, 219, 225]","[107, 224, 231]","['CC no. 126/14 Bhoopindra kumar Vs. Meenu Verma', 's 138', 'NI Act']","['PRECEDENT', 'PROVISION', 'STATUTE']"
73,"The question that the Supreme Court posed for itself was as to whether the injustice resulting from the practice of discarding bidis and not making any payment to the workers could be checked, controlled and regulated by the issuance of a notification.",[22],[35],['Supreme Court'],['COURT']
74,"Referring to the decision in D.S.NAKARA Vs. UNION OF INDIA (1983 1 SCC 305), the Apex Court held that by adopting the principle of severability by striking down the words of limitation in the enactment, the provision can still be upheld.","[29, 81]","[75, 91]","['D.S.NAKARA Vs. UNION OF INDIA (1983 1 SCC 305)', 'Apex Court']","['PRECEDENT', 'COURT']"
75,A few lines occurring at page 119 in the judgment of the Privy Council in the case of Attorney-General for British Columbia and Esquimalt and Nanaimo Railway Company and others may be quoted with advantage.,"[107, 128]","[123, 165]","['British Columbia', 'Esquimalt and Nanaimo Railway Company']","['GPE', 'ORG']"
76,Copy of this judgment be given free of cost to the accused driver.,[],[],[],[]
77,"Amarsingh, Bhanwarial, Narpat Singh II, Jagdish Prasad Sharma, Mohd. Ahmed Khan, all the petitioners are admittedly permanent employees and since the bedrock of the impugned orders of termination of their services is Clause 13, the termination orders are liable to be quashed and are hereby quashed.","[0, 11, 23, 40, 63, 217]","[9, 21, 38, 61, 79, 226]","['Amarsingh', 'Bhanwarial', 'Narpat Singh II', 'Jagdish Prasad Sharma', 'Mohd. Ahmed Khan', 'Clause 13']","['PETITIONER', 'PETITIONER', 'OTHER_PERSON', 'PETITIONER', 'PETITIONER', 'PROVISION']"
78,"The contention of the petitioner is that it is not open to the assessee, the second respondent herein, to question the order passed by the CIT on 01.04.2010 on the ground that he did not validly assume jurisdiction to revise the assessment orders.",[146],[156],['01.04.2010'],['DATE']
79,"HONBLE SRI JUSTICE A. SHANKAR NARAYANA            MACMA No. 1808 of 2005    30-03-2015  The National Insurance Company, rep. by its Branch Manager, Chittoor, Chittoor District","[19, 50, 76, 92, 148, 158]","[38, 72, 86, 118, 156, 175]","['A. SHANKAR NARAYANA', 'MACMA No. 1808 of 2005', '30-03-2015', 'National Insurance Company', 'Chittoor', 'Chittoor District']","['JUDGE', 'CASE_NUMBER', 'DATE', 'PETITIONER', 'GPE', 'GPE']"
80,That itself amounts to cruelty by filing a criminal case.,[],[],[],[]
81,"Equally me building of national and State highways involves the creation of bridges, culverts, etc. over large rivers or smaller streams, which vest in the Government and can only be done under the umbrella and cloak of the sovereign governmental powers.",[],[],[],[]
82,"The witness further deposed that on 1st April, 2003 he alongwith police party had gone forests at Gopalpur and Kanchanpur villages and on 2nd April, 2003 behind the bushes, he found his son Vikash Jain with three accused persons namely Pradip Kumar, Gopal and Naval Singh.","[36, 98, 111, 138, 190, 236, 250, 260]","[51, 106, 121, 153, 201, 248, 259, 271]","['1st April, 2003', 'Gopalpur', 'Kanchanpur', '2nd April, 2003', 'Vikash Jain', 'Pradip Kumar', 'Gopal and', 'Naval Singh']","['DATE', 'GPE', 'GPE', 'DATE', 'OTHER_PERSON', 'OTHER_PERSON', 'OTHER_PERSON', 'OTHER_PERSON']"
83,"Thereafter the ownership of property in which tenanted premises is situated fell in favour of Smt. Jeet Kaur, who expired on 21/04/2004.","[99, 125]","[108, 135]","['Jeet Kaur', '21/04/2004']","['OTHER_PERSON', 'DATE']"
84,"On the date of the incident, that is, on 05.09.2008 it must be about 8.45 p.m. that Happy (Tejinder Bawa - appellant in CRA No.1046 of 2011) and Suraj Ahluwalia (appellant in CRA No. D-1026-DB of 2011), President of Shiv Sena, Bal Thakre and his Gunman Shammi Kumar came on a black colour Bolero vehicle bearing registration No. PB-10BE-4979.","[41, 91, 120, 145, 175, 216, 227, 253]","[51, 104, 139, 160, 200, 225, 237, 265]","['05.09.2008', 'Tejinder Bawa', 'CRA No.1046 of 2011', 'Suraj Ahluwalia', 'CRA No. D-1026-DB of 2011', 'Shiv Sena', 'Bal Thakre', 'Shammi Kumar']","['DATE', 'PETITIONER', 'CASE_NUMBER', 'PETITIONER', 'CASE_NUMBER', 'ORG', 'OTHER_PERSON', 'OTHER_PERSON']"
85,"In contrast, the impression that we get by reading Section 2(s), which defines ""shared household"" is that the ""household"" which is referred to in the said provision, relates to the property and not just to the group of people who dwell under the same roof or the family living together.",[51],[63],['Section 2(s)'],['PROVISION']
86,"If he had to be a member, then the conclusion of the Nagpur High Court in this case that the dispute between the co-operative bank and the plaintiffs relating to their liability which arose out of their capacity as treasurers was referable to the Registrar seems to be correct.",[53],[70],['Nagpur High Court'],['COURT']
87,"Consent of the girl in order to relieve an act, of a criminal character like rape, must be an act of reason, accompanied with deliberation, after the mind has weighed as in a balance, the good and evil on each side, with the existing capacity and power to withdraw the assent according to one's will or pleasure.""",[],[],[],[]
88,He denied that Pushkar (appellant No.4) was a parking attendant in Hotel Le Meridien for the last about 16 years.,"[15, 67]","[22, 84]","['Pushkar', 'Hotel Le Meridien']","['PETITIONER', 'ORG']"
89,Accordingly in June 1970 a dispute was sought to be raised before the District Deputy Registrar .,[],[],[],[]
90,"In the aforesaid background, the plea raised by learned counsel for petitioners is not tenable for relaxation of qualification.",[],[],[],[]
91,"Justice B.N. Srikrishna, the then sitting Judge of this Court was appointed as the sole Commissioner to head the inquiry.",[8],[23],['B.N. Srikrishna'],['JUDGE']
92,"This revision petition was disposed of by Order No. 2122 of 1977 dated December 14, 1977.","[42, 71]","[64, 88]","['Order No. 2122 of 1977', 'December 14, 1977']","['CASE_NUMBER', 'DATE']"
93,"Having given our careful consideration we are unable to agree with the view taken by Seth, J.P.W. 7",[85],[89],['Seth'],['WITNESS']
94,"The registration certificate was granted about three months thereafter on 3rd June, 1966, i.e., about three days after the sale in question.",[74],[88],"['3rd June, 1966']",['DATE']
95,But it was found by the Upa Lok Ayukta that the second W.P.(C).No.33916 of 2008 & con. Cases.,"[24, 55]","[38, 79]","['Upa Lok Ayukta', 'W.P.(C).No.33916 of 2008']","['ORG', 'CASE_NUMBER']"
96,"The assessee further contended that interest paid was an allowable deduction under Section 36 of the I.T. Act, 1961, being interest paid on capital borrowed for the purpose of business which included the payment of income-tax on the income of the business.","[83, 101]","[93, 115]","['Section 36', 'I.T. Act, 1961']","['PROVISION', 'STATUTE']"
97,"The petitioner Uthan Pada Das and petitioner Abhimunna Ghosh having already attained the age of 65 years in 1997 and 31.10.96 respectively, the question of extension of their services does not arise but it stands admitted that during their extended period they still have been granted salary at the old scale.","[15, 45, 117]","[29, 60, 125]","['Uthan Pada Das', 'Abhimunna Ghosh', '31.10.96']","['PETITIONER', 'PETITIONER', 'DATE']"
98,"The question arose as to whether the living allowances and salaries paid to the foreign technicians is taxable treating the same as constituting salary earned in India as per section 9(1)(ii) of the Income Tax Act as it stood at the relevant time include which falls under the head ""Salaries"" if it is earned in India.","[162, 175, 199, 312]","[167, 191, 213, 317]","['India', 'section 9(1)(ii)', 'Income Tax Act', 'India']","['GPE', 'PROVISION', 'STATUTE', 'GPE']"
99,"The doctor, after examining them declared both dead.",[],[],[],[]
100,"On the same date, i.e., 19th April 1995, the High Commission of the Republic of Singapore made a request to the Ministry of External Affairs, Government of India to assist it in securing the provisional arrest of Rajan Pillai for the <span class=""hidden_text"" id=""span_5"">W.P. (C) No. 1894 of 1998 Page 5 of 48</span> purposes of extradition.","[24, 45, 112, 213, 277]","[39, 89, 161, 225, 297]","['19th April 1995', 'High Commission of the Republic of Singapore', 'Ministry of External Affairs, Government of India', 'Rajan Pillai', '(C) No. 1894 of 1998']","['DATE', 'ORG', 'ORG', 'OTHER_PERSON', 'CASE_NUMBER']"
101,"The statements of P.W. 3 Anup and P.W. 9 Ravi have been recorded on 11st June, 2006 i.e. two days after the incident.","[25, 41, 68]","[29, 45, 83]","['Anup', 'Ravi', '11st June, 2006']","['WITNESS', 'WITNESS', 'DATE']"
102,"With regard to scope of S.320 Cr.P.C., in the case of DASAN Vs. STATE OF KERALA AND ANOTHER, (2014) 12 SCC 666, Apex Court has held as follows:
 ""7. Section 320 of the Criminal Procedure Code (the Code) pertains to offences punishable under the Penal Code only.","[24, 30, 54, 112, 149, 168, 245]","[29, 37, 110, 122, 160, 191, 255]","['S.320', 'Cr.P.C.', 'DASAN Vs. STATE OF KERALA AND ANOTHER, (2014) 12 SCC 666', 'Apex Court', 'Section 320', 'Criminal Procedure Code', 'Penal Code']","['PROVISION', 'STATUTE', 'PRECEDENT', 'COURT', 'PROVISION', 'STATUTE', 'STATUTE']"
103,"

 PW-8 is Sub Inspector Saudan Singh, who is I.O. in this case.",[25],[37],['Saudan Singh'],['WITNESS']
104,"We do not think it necessary to examine several other decisions which have been cited, and we would merely add that some of these have been examined in detail by Balakrishna Ayyar, J. in W. P. Nos. 291 and 292 of 1957 (Mad).","[162, 187]","[179, 217]","['Balakrishna Ayyar', 'W. P. Nos. 291 and 292 of 1957']","['OTHER_PERSON', 'CASE_NUMBER']"
105,"Under this circumstance, in paragraph No.9, the division bench of Apex Court has held that;
""In the present case, admittedly, no notice was issued by the Vth Metropolitan Magistrate to the appellant before accepting the final report submitted by the CBI and deciding not to take cognizance and drop the proceedings.","[66, 250]","[76, 253]","['Apex Court', 'CBI']","['COURT', 'ORG']"
106,"Therefore, necessarily Muthalamarappan Mala could not be such an extensive Mala.",[23],[43],['Muthalamarappan Mala'],['OTHER_PERSON']
107,"The parties to the petition were married at Sholapur on December 12, 1957.","[44, 56]","[52, 73]","['Sholapur', 'December 12, 1957']","['GPE', 'DATE']"
108,We have already considered the facts relating to bogus purchase invoices in respect of oil cakes shown as purchased by the assessee from 33 bogus suppliers.,[],[],[],[]
109,"The documents being registered should have been proved through the concerned Sub <span class=""hidden_text"" id=""span_5"">Result: Application dismissed Page 5 of 17</span> Chander Kant v Laxmi Chand Ex.No.75/2010/03 Registrar/other government official/executor and not in the manner as sought to be proved",[],[],[],[]
110,"If he had paid the fine amount, the same will be refunded to him.",[],[],[],[]
111,"In respect of offence u/s 3/181 MV Act, during the course of final argument, accused Abid @ Guddu admitted before this court that he FIR No. 196/2011, State Vs. Abid Guddu was driving the motorcycle without having any driving licence, as alleged by the IO/PW7 in his chief examination.","[24, 32, 85]","[31, 38, 97]","['s 3/181', 'MV Act', 'Abid @ Guddu']","['PROVISION', 'STATUTE', 'RESPONDENT']"
112,"It was contended by learned counsel that an order was made by the President on 26th January, 1950, by which the President directed that the tax on sale or purchase of goods under the U. P. Sales Tax Act shall, notwithstanding that such imposition of tax was contrary to the provisions of Clause (2) of Article 286 of the Constitution, continue to be levied until 31-3-1951.","[79, 183, 288, 321, 363]","[97, 202, 313, 333, 372]","['26th January, 1950', 'U. P. Sales Tax Act', 'Clause (2) of Article 286', 'Constitution', '31-3-1951']","['DATE', 'STATUTE', 'PROVISION', 'STATUTE', 'DATE']"
